"part_number","name","manufacturer","category","existing_cost","existing_msrp","existing_retail"
"RADIAL-TIRE  S-BETTER-18","Better Radial Tires - 18 inch","Universal","Tires","0.01","0.02","0.02"
"RADIAL-TIRE  S-BETTER-19","Better Radial Tires - 19 inch","Universal","Tires","0.01","0.02","0.02"
"RADIAL-TIRE  S-BETTER-20","Better Radial Tires - 20 inch","Universal","Tires","0.01","0.02","0.02"
"RADIAL-TIRE  S-BETTER-22","Better Radial Tires - 22 inch","Universal","Tires","0.01","0.02","0.02"
"TIRES-BETTE  R-SETOF5-17","Better set of 5 Tires - 17 inch","Universal","Tires","0.01","0.02","0.02"
"TIRES-BETTE  R-SETOF5-18","Better set of 5 Tires - 18 inch","Universal","Tires","0.01","0.02","0.02"
"TIRES-BETTE  R-SETOF5-20","Better set of 5 Tires - 20 inch","Universal","Tires","0.01","0.02","0.02"
"TIRES-BETTE  R-SETOF5-22","Better set of 5 Tires - 22 inch","Universal","Tires","0.01","0.02","0.02"
"TIRES-BETTE  R-SETOF5-24","Better set of 5 Tires - 24 inch","Universal","Tires","0.01","0.02","0.02"
"TIRES-BETTE  R-SETOF5-26","Better set of 5 Tires - 26 inch","Universal","Tires","0.01","0.02","0.02"
"TIRES-TRUC  K-BETTER-16","Better Truck Tires 16 inch","Universal","Tires","0.01","0.02","0.02"
"TIRES-TRUC  K-BETTER-17","Better Truck Tires 17 inch","Universal","Tires","0.01","0.02","0.02"
"TIRES-TRUC  K-BETTER-18","Better Truck Tires 18 inch","Universal","Tires","0.01","0.02","0.02"
"TIRES-TRUC  K-BETTER-20","Better Truck Tires 20 inch","Universal","Tires","0.01","0.02","0.02"
"TIRES-TRUC  K-BETTER-22","Better Truck Tires 22 inch","Universal","Tires","0.01","0.02","0.02"
"TIRES-TRUC  K-BETTER-24","Better Truck Tires 24 inch","Universal","Tires","0.01","0.02","0.02"
"TIRES-TRUC  K-BETTER-26","Better Truck Tires 26 inch","Universal","Tires","0.01","0.02","0.02"
"TIRES-TRUC  K-BETTER-31","Better Truck Tires 31 inch","Universal","Tires","0.01","0.02","0.02"
"TIRES-TRUC  K-BETTER-33","Better Truck Tires 33 inch","Universal","Tires","0.01","0.02","2000.00"
"TIRES-TRUC  K-BETTER-35","Better Truck Tires 35 inch","Universal","Tires","0.01","0.02","2100.00"
"TIRES-TRUC  K-BETTER-37","Better Truck Tires 37 inch","Universal","Tires","0.01","0.02","2400.00"
"RADIAL-TIRES-15","Good Radial Tires - 15 inch","Universal","Tires","0.01","0.02","0.02"
"RADIAL-TIRES-16","Good Radial Tires - 16 inch","Universal","Tires","0.01","0.02","0.02"
"RADIAL-TIRES-17","Good Radial Tires - 17 inch","Universal","Tires","0.01","0.02","0.02"
"RADIAL-TIRES-18","Good Radial Tires - 18 inch","Universal","Tires","0.01","0.02","0.02"
"RADIAL-TIRES-19","Good Radial Tires - 19 inch","Universal","Tires","0.01","0.02","0.02"
"RADIAL-TIRES-20","Good Radial Tires - 20 inch","Universal","Tires","0.01","0.02","0.02"
"RADIAL-TIRES-22","Good Radial Tires - 22 inch","Universal","Tires","0.01","0.02","0.02"
"TIRES-SETOF5-17","Good set of 5 Tires - 17 inch","Universal","Tires","0.01","0.02","0.02"
"TIRES-SETOF5-18","Good set of 5 Tires - 18 inch","Universal","Tires","0.01","0.02","0.02"
"TIRES-SETOF5-20","Good set of 5 Tires - 20 inch","Universal","Tires","0.01","0.02","0.02"
"TIRES-SETOF5-22","Good set of 5 Tires - 22 inch","Universal","Tires","0.01","0.02","0.02"
"TIRES-SETOF5-24","Good set of 5 Tires - 24 inch","Universal","Tires","0.01","0.02","0.02"
"TIRES-SETOF5-26","Good set of 5 Tires - 26 inch","Universal","Tires","0.01","0.02","0.02"
"TIRES-TRUCK-16","Good Truck Tires 16 inch","Universal","Tires","0.01","0.02","0.02"
"TIRES-TRUCK-17","Good Truck Tires 17 inch","Universal","Tires","0.01","0.02","0.02"
"TIRES-TRUCK-18","Good Truck Tires 18 inch","Universal","Tires","0.01","0.02","0.02"
"TIRES-TRUCK-20","Good Truck Tires 20 inch","Universal","Tires","0.01","0.02","0.02"
"TIRES-TRUCK-22","Good Truck Tires 22 inch","Universal","Tires","0.01","0.02","0.02"
"TIRES-TRUCK-24","Good Truck Tires 24 inch","Universal","Tires","0.01","0.02","0.02"
"TIRES-TRUCK-26","Good Truck Tires 26 inch","Universal","Tires","0.01","0.02","0.02"
"TIRES-TRUCK-31","Good Truck Tires 31 inch","Universal","Tires","0.01","0.02","0.02"
"TIRES-TRUCK-33","Good Truck Tires 33 inch","Universal","Tires","0.01","0.02","1800.00"
"TIRES-TRUCK-35","Good Truck Tires 35 inch","Universal","Tires","0.01","0.02","1900.00"
"TIRES-TRUCK-37","Good Truck Tires 37 inch","Universal","Tires","0.01","0.02","2000.00"
"Takeoff","Tire Takeoff Credit","Universal","Tires","85.00","100.00","100.00"
"82216461AA","Hard Roll-Up Tonneau Cover - Black","Jeep","Tonneau Covers and Bed Caps","1600.00","2675.00","2675.00"
"82216372AD","Hard Tri-Fold Tonneau Cover - Aluminum Frame","Jeep","Tonneau Covers and Bed Caps","1075.00","1365.00","1365.00"
"68672230AA","Power Retractable Tonneau Cover","Jeep","Tonneau Covers and Bed Caps","2685.00","3200.00","3200.00"
"82215617AA","Soft Roll-Up Tonneau Cover - Black","Jeep","Tonneau Covers and Bed Caps","1070.00","1365.00","1365.00"
"82216373AB","Soft Roll-Up Tonneau Cover - Black","Jeep","Tonneau Covers and Bed Caps","691.00","923.00","923.00"
"82216371AC","Soft Tri-Fold Tonneau Cover - Black","Jeep","Tonneau Covers and Bed Caps","601.00","813.00","813.00"
"TONNEAU-BED-CAPS","Bed caps","Universal","Tonneau Covers and Bed Caps","0.01","0.02","0.02"
"TONNEAU-HINGE","Hinge","Universal","Tonneau Covers and Bed Caps","0.01","0.02","0.02"
"TONNEAU-POWE  R-RETRACTABLE","Power Retractable","Universal","Tonneau Covers and Bed Caps","0.01","0.02","0.02"
"TONNEAU-QUA  D-FOLD-HARD","Quad-fold hard","Universal","Tonneau Covers and Bed Caps","0.01","0.02","0.02"
"TONNEAU-QUA  D-FOLD-SOFT","Quad-fold soft","Universal","Tonneau Covers and Bed Caps","0.01","0.02","0.02"
"TONNEAU-RETRACTABLE","Retractable","Universal","Tonneau Covers and Bed Caps","0.01","0.02","0.02"
"TONNEAU-ROLL-UP-HARD","Roll up tonneau cover - Hard","Universal","Tonneau Covers and Bed Caps","0.01","0.02","0.02"
"TONNEAU-ROLL-UP-SOFT","Roll up tonneau cover - Soft","Universal","Tonneau Covers and Bed Caps","0.01","0.01","0.01"
"TONNEAU-TAI  LGATE-LOCKS","Tailgate locks","Universal","Tonneau Covers and Bed Caps","0.01","0.02","0.02"
"TONNEAU-TR  I-FOLD-HARD","Tri-fold hard","Universal","Tonneau Covers and Bed Caps","0.01","0.02","0.02"
"TONNEAU-TR  I-FOLD-SOFT","Tri-fold Soft","Universal","Tonneau Covers and Bed Caps","0.01","0.02","0.02"
"68729808AA","Bed Step - Aluminum with Black Powder Coated","Jeep","Truck Bed Accessories","720.00","809.00","809.00"
"68729809AA","Bed Step - Aluminum with Black Powder Coated","Jeep","Truck Bed Accessories","698.64","784.99","784.99"
"68729810AA","Bed Step - Aluminum with Black Powder Coated","Jeep","Truck Bed Accessories","200.24","224.99","224.99"
