part_number,name,manufacturer,category,existing_cost,existing_msrp,existing_retail
77072381,Cold Air Inlet Tube - 5.7L Engine,Chrysler,Air Filters and Air Intakes,181.00,242.00,242.00
68198995AA,Cold Air Intake Filter - 5.7L and 6.4L Engine,Chrysler,Air Filters and Air Intakes,45.00,75.00,75.00
77070045AB,Cold Air Intake Kit - 3.6L Engine,Chrysler,Air Filters and Air Intakes,385.00,514.00,514.00
77070044AD,Cold Air Intake Kit - 5.7L Engine,Chrysler,Air Filters and Air Intakes,376.00,502.00,502.00
77070043AC,Cool Air Intake Kit - 6.4L Engine,Chrysler,Air Filters and Air Intakes,346.00,462.00,462.00
68630845AA,Electronic Vehicle Tracking System,Chrysler,Alarms Remote Starts and Recovery,119.00,499.00,499.00
82214545AF,Remote Keyless Entry,Chrysler,Alarms Remote Starts and Recovery,509.00,682.00,682.00
82214175AD,Remote Start,Chrysler,Alarms Remote Starts and Recovery,303.00,417.00,417.00
82215099AC,Remote Start,Chrysler,Alarms Remote Starts and Recovery,279.00,376.00,376.00
82214848AC,Remote Start - 4 Button Fob,Chrysler,Alarms Remote Starts and Recovery,303.00,417.00,417.00
82214846AD,Remote Start - 7 Button Fob,Chrysler,Alarms Remote Starts and Recovery,303.00,417.00,417.00
82214996,Remote Start - Automatic,Chrysler,Alarms Remote Starts and Recovery,280.00,384.00,384.00
82216294AB,Remote Start Kit - 6 Button Fob,Chrysler,Alarms Remote Starts and Recovery,338.00,464.00,464.00
82216295AB,Remote Start Kit - 7 Button Fob,Chrysler,Alarms Remote Starts and Recovery,509.00,682.00,682.00
68650455AA,4K Connected Dual Dash Camera,Chrysler,Cameras Sensors and Mirrors,351.00,413.00,413.00
68650461AA,Adhesive Camera Mount,Chrysler,Cameras Sensors and Mirrors,25.75,30.85,30.85
68650460AA,Direct Wire Kit,Chrysler,Cameras Sensors and Mirrors,25.75,30.85,30.85
68650459AA,Exterior View Plug-In Camera - Driving Assistance,Chrysler,Cameras Sensors and Mirrors,70.05,82.40,82.40
68319193AA,Car Care Kit,Chrysler,Clothing and Novelty,8.35,14.20,14.20
82212928,Key Fob Badge with Mophar Logo - 2 Piece,Chrysler,Clothing and Novelty,6.50,9.75,9.75
82212315,Vehicle Cover with Chrysler Logo - Gray,Chrysler,Covers,390.00,528.00,528.00
82212546AC,Hood  Air Deflector - Tinted,Chrysler,Deflectors,96.95,155.00,155.00
82212240,Side Window Air Deflector - Tinted - 4 Piece,Chrysler,Deflectors,164.00,237.00,237.00
DEFLECTORS-4PIECE,Deflectors - 4 Piece - Black,Universal,Deflectors,0.01,0.02,139.99
DEFLECTORS-FRONT,Deflectors - Front - 2 Piece - Black,Universal,Deflectors,0.01,0.02,84.95
DEFLECTORS-HOOD,Deflectors - Hood  - Black,Universal,Deflectors,0.01,0.02,99.95
DEFLECTORS-REAR,Deflectors - Rear - 2 Piece - Black,Universal,Deflectors,0.01,0.02,84.95
DEFLECTORS-SUNROOF,Deflectors - Sunroof - Black,Universal,Deflectors,0.01,0.02,89.95
82214548AC,Door Sill Guard - 2 Piece - Pacifica Logo - Stainless Steel,Chrysler,Door Sills and Interior Illumination,119.00,184.00,184.00
82212285AB,Door Sill Guards - 4 Piece - Chrysler Logo - Stainless Steel,Chrysler,Door Sills and Interior Illumination,179.00,265.00,265.00
82216375AA,Door Sill Protectors - 2 Piece - Voyager Logo - Stainless Steel,Chrysler,Door Sills and Interior Illumination,95.05,160.00,160.00
68679189AA,4 in 1 Battery Charger - CTEK CS Free,Chrysler,Electronics,178.00,218.00,218.00
68679215AA,Battery Analyzer - 12V - CTEK,Chrysler,Electronics,118.00,144.00,144.00
68679187AA,Battery Care Bundle - CTEK MXS 5.0,Chrysler,Electronics,109.19,139.99,139.99
68679186AA,Battery Charger - CTEK CT5 Powersport,Chrysler,Electronics,73.79,89.99,89.99
68679181AA,Battery Charger - CTEK CT5 Time-To-Go,Chrysler,Electronics,98.39,119.99,119.99
68679183AA,Battery Charger - CTEK D250SE,Chrysler,Electronics,491.99,599.99,599.99
68679216AA,Battery Charger - CTEK Lithium US,Chrysler,Electronics,102.49,124.99,124.99
68679201AA,Battery Charger - CTEK Multi US 7002,Chrysler,Electronics,172.19,209.99,209.99
68679172AA,Battery Charger - CTEK MUS 4.3,Chrysler,Electronics,127.00,155.00,155.00
68679179AA,Battery Charger - CTEK MXS 5.0,Chrysler,Electronics,98.39,119.99,119.99
68679185AA,Battery Charger - CTEK PRO25S,Chrysler,Electronics,368.99,449.99,449.99
68679184AA,Battery Charger - CTEK PRO25SE,Chrysler,Electronics,409.99,499.99,499.99
68679212AA,Battery Charger - CTEK US 0.8,Chrysler,Electronics,53.29,64.99,64.99
68679174AA,Battery Charger Bumper Case - CTEK,Chrysler,Electronics,16.39,19.99,19.99
68679175AA,Battery Charger Bumper Case - CTEK,Chrysler,Electronics,24.59,29.99,29.99
68679176AA,Battery Charger Bumper Case - CTEK,Chrysler,Electronics,49.19,59.99,59.99
68679214AA,Battery Charger Bumper Case - CTEK,Chrysler,Electronics,24.59,29.99,29.99
68679197AA,Battery Charger Plug - 12V - CTEK,Chrysler,Electronics,24.59,29.99,29.99
68679193AA,Battery Charger Storage Case - CTEK,Chrysler,Electronics,57.39,69.99,69.99
