part_number,name,manufacturer,category,existing_cost,existing_msrp,existing_retail
68625062AA,Powered Cooler Protective Cover - CFX3-PC35 - Dometic,Chrysler,Outdoor Recreation,114.00,135.00,135.00
68625063AA,Powered Cooler Protective Cover - CFX3-PC45 - Dometic,Chrysler,Outdoor Recreation,110.00,129.99,129.99
68625064AA,Powered Cooler Protective Cover - CFX3-PC55IM - Dometic,Chrysler,Outdoor Recreation,110.00,129.99,129.99
68625065AA,Powered Cooler Protective Cover - CFX3-PC75 - Dometic,Chrysler,Outdoor Recreation,131.00,155.00,155.00
68625066AA,Powered Cooler Protective Cover - CFX3-PC95 - Dometic,Chrysler,Outdoor Recreation,131.00,155.00,155.00
68717815AA,Roof Mount Bike Carrier,Chrysler,Outdoor Recreation,219.20,274.00,274.00
TC598000,Roof Mount Bike Carrier,Chrysler,Outdoor Recreation,228.00,269.00,269.00
TC859000,Roof Mount Cargo Basket - Thule,Chrysler,Outdoor Recreation,438.00,516.00,516.00
TC635701,Roof Mount Cargo Box - 16 Cubit Feet - Thule,Chrysler,Outdoor Recreation,637.00,749.95,749.95
TC635801,Roof Mount Cargo Box - 18 Cubic Feet - Thule,Chrysler,Outdoor Recreation,701.00,825.00,825.00
68717834AA,Roof Mount Kayak Carrier,Chrysler,Outdoor Recreation,243.20,304.00,304.00
68717835AA,Roof Mount Kayak Carrier,Chrysler,Outdoor Recreation,180.63,223.00,223.00
68717833AA,Roof Mount Ski Carrier - Four Pair,Chrysler,Outdoor Recreation,372.28,454.00,454.00
68717832AA,Roof Mount Ski Carrier - Six Pair,Chrysler,Outdoor Recreation,428.86,523.00,523.00
TC732600,Roof Mount Ski Carrier - Thule,Chrysler,Outdoor Recreation,349.00,411.00,411.00
TC811000,Roof Mount Surfboard Carrier - Thule,Chrysler,Outdoor Recreation,176.00,208.00,208.00
TC890000,Roof Rack Water Sport Carrier,Chrysler,Outdoor Recreation,306.00,361.00,361.00
TC895000,Roof Rack Water Sport Carrier,Chrysler,Outdoor Recreation,255.00,299.95,299.95
68714713AA,Rotopax Tank Holder - SeaSucker,Chrysler,Outdoor Recreation,207.00,269.00,269.00
68663288AA,RotopaxTank Holder - SeaSucker,Chrysler,Outdoor Recreation,130.00,149.00,149.00
68727415AA,Single Faucet Tower Kit - Clamp-On,Chrysler,Outdoor Recreation,204.00,240.00,240.00
68663294AA,Ski Rack - SeaSucker,Chrysler,Outdoor Recreation,349.00,425.00,425.00
68625118AA,Sportz SUV Tent - Napier,Chrysler,Outdoor Recreation,132.00,165.00,165.00
68625119AA,Sportz SUV Tent - Napier,Chrysler,Outdoor Recreation,338.00,423.00,423.00
68625120AA,Sportz SUV Tent - Napier,Chrysler,Outdoor Recreation,380.00,475.00,475.00
68743834AA,Tire Table - Large - Aluminum,Chrysler,Outdoor Recreation,231.36,259.95,259.95
68743832AA,Tire Table - Steel - Large,Chrysler,Outdoor Recreation,191.16,224.90,224.90
68743831AA,Tire Table - Steel - Medium,Chrysler,Outdoor Recreation,151.66,184.95,184.95
68663293AA,Two Bike Carrier - SeaSucker Bomber Max,Chrysler,Outdoor Recreation,482.00,588.00,588.00
68714720AA,Universal Off-Road Mount - SeaSucker,Chrysler,Outdoor Recreation,73.15,109.00,109.00
68714716AA,Universal Recovery Board Mount - SeaSucker,Chrysler,Outdoor Recreation,227.00,295.00,295.00
68698516AA,Vertical Party Barge - SeaSucker,Chrysler,Outdoor Recreation,216.00,258.00,258.00
68663296AA,Vertical Party Barge - SeaSucker - Black,Chrysler,Outdoor Recreation,216.00,258.00,258.00
68714724AA,Waste Band Garbage Bag Holder - Large - SeaSucker,Chrysler,Outdoor Recreation,111.00,155.00,155.00
68714721AA,Waterport Tank Mount - SeaSucker,Chrysler,Outdoor Recreation,331.00,419.00,419.00
82300778,Battery Blanket,Chrysler,Performance,49.60,73.40,73.40
82212089AB,Rust Inhibitor,Chrysler,Protection Products,50.70,73.40,73.40
06103208AA,Touch-Up Paint - Atomic Silver,Chrysler,Protection Products,9.95,16.65,16.65
04889821AB,Touch-Up Paint - Brilliant Black Crystal,Chrysler,Protection Products,11.20,18.80,18.80
06102697AB,Touch-Up Paint - Velvet Red Pearl,Chrysler,Protection Products,11.20,18.80,18.80
05163738AB,Touch-Up Paint Pen - Billet Silver Met,Chrysler,Protection Products,14.05,23.50,23.50
68154430AB,Touch-Up Paint Pen - Maximum Steel Met,Chrysler,Protection Products,13.90,23.40,23.40
06103207AA,Touch-Up Paint Pen - Silver Metallic Clear Coat,Chrysler,Protection Products,13.45,22.60,22.60
04443632AC,Touch-Up Spray Paint - Clear Top Coat,Chrysler,Protection Products,10.75,18.05,18.05
68626414AA,Touch-Up Spray Paint - Pitch Black Clear Coat,Chrysler,Protection Products,11.45,19.10,19.10
SPNEW-CERAMIC,Sunshine Package New Vehicles - CERAMIC,Dealership Packages,Protection Products,485.00,1615.00,1615.00
SPNEW-NON-CERAMIC,Sunshine Package New Vehicles - NON-CERAMIC,Dealership Packages,Protection Products,435.00,1545.00,1545.00
SPUsed-CERAMIC,Sunshine Package Used Vehicles CERAMIC,Dealership Packages,Protection Products,385.00,1065.00,1065.00
SPUsed-NON-CERAMIC,Sunshine Package Used Vehicles NON-CERAMIC,Dealership Packages,Protection Products,345.00,995.00,995.00
68663290AA,Monkey Bar - 48 inch - SeaSucker,Chrysler,Roof Racks and Cargo Carriers and Bikes,422.00,515.00,515.00
