part_number,name,manufacturer,category,existing_cost,existing_msrp,existing_retail
68679199AA,Battery Charger Wall Hanger - CTEK 300,Chrysler,Electronics,32.79,39.99,39.99
68679173AA,Battery Charger Wall Mount - CTEK,Chrysler,Electronics,24.59,29.99,29.99
68679188AA,Battery Charger Wall Mount - CTEK,Chrysler,Electronics,49.19,59.99,59.99
68679177AA,Battery Sense Bluetooth - CTEK,Chrysler,Electronics,64.90,76.00,76.00
68679180AA,Battery Tester - CTEK Pro,Chrysler,Electronics,972.00,1220.00,1220.00
82215938AC,Bluetooth Noise-Cancelling Headphones,Chrysler,Electronics,119.00,214.00,214.00
68679217AA,Cold Weather Battery Charger - CTEK MUS 4.3 Polar,Chrysler,Electronics,155.79,189.99,189.99
68679198AA,Extension Cable - CTEK Comfort Connect,Chrysler,Electronics,24.59,29.99,29.99
05185142AB,In-home Vehicle Charger - Level 1,Chrysler,Electronics,226.00,257.00,257.00
68722794AA,In-Vehicle Core Battery Charger Monitor and Fuse Kit Package - 25 A - RedArc,Chrysler,Electronics,489.00,573.60,573.60
68722795AA,In-Vehicle Core Battery Charger Monitor and Fuse Kit Package - 40 A - RedArc,Chrysler,Electronics,533.00,623.60,623.60
68679204AA,Indicator Clamp - CTEK Comfort,Chrysler,Electronics,24.59,29.99,29.99
68679203AA,Indicator Eyelet - CTEK Comfort,Chrysler,Electronics,16.39,19.99,19.99
68679210AA,Indicator Eyelet - CTEK Comfort,Chrysler,Electronics,16.39,19.99,19.99
68679202AA,Indicator Panel - CTEK Comfort,Chrysler,Electronics,40.99,49.99,49.99
68679205AA,Indicator Panel - CTEK Comfort,Chrysler,Electronics,40.99,49.99,49.99
68679206AA,Indicator Panel - CTEK Comfort,Chrysler,Electronics,10.00,11.99,11.99
68679207AA,Indicator Pigtail - CTEK Comfort,Chrysler,Electronics,16.39,19.99,19.99
68679213AA,Indicator Plug - CTEK Comfort,Chrysler,Electronics,32.79,39.99,39.99
68679200AA,M10 Eyelet Connector - CTEK Comfort Connect,Chrysler,Electronics,8.19,9.99,9.99
68679195AA,M6 Eyelet Connector - CTEK Comfort Connect,Chrysler,Electronics,8.19,9.99,9.99
68679196AA,M8 Eyelet Connector - CTEK Comfort Connect,Chrysler,Electronics,8.19,9.99,9.99
68679209AA,Mobile Test Station - CTEK Trolley Pro,Chrysler,Electronics,356.69,434.99,434.99
68722797AA,Monocrystalline Fixed Solar Panel - 120 W - RedArc,Chrysler,Electronics,507.26,576.43,576.43
68723766AA,Monocrystalline Fixed Solar Panel - 180 W - RedArc,Chrysler,Electronics,479.00,545.00,545.00
68722799AA,Monocrystalline Fixed Solar Panel - 50 W - RedArc,Chrysler,Electronics,190.00,240.39,240.39
68722800AA,Monocrystalline Fixed Solar Panel - 80 W - RedArc,Chrysler,Electronics,286.00,347.39,347.39
68722801AA,Monocrystalline Portable Folding Solar Panel - 120 W - RedArc,Chrysler,Electronics,343.00,411.39,411.39
68722798AA,Monocrystalline Portable Folding Solar Panel - 200 W - RedArc,Chrysler,Electronics,729.00,840.43,840.43
68707773AA,Onboard Battery Charger - SMARTPASS 120S - CTEK,Chrysler,Electronics,491.99,599.99,599.99
68679211AA,Plug Adapter - CTEK Comfort Connect,Chrysler,Electronics,6.71,7.99,7.99
68650472AA,Power Inverter Remote On-Off Controller,Chrysler,Electronics,52.55,61.80,61.80
68679208AA,Socket - 12V - CTEK,Chrysler,Electronics,24.59,29.99,29.99
68679190AA,Solar Panel Charge Kit - CTEK CS Free,Chrysler,Electronics,178.00,218.00,218.00
68679191AA,USB-C Charge Cable - CTEK CS Free,Chrysler,Electronics,49.19,59.99,59.99
68679192AA,USB-C Charge Cable Clamp - CTEK CS Free,Chrysler,Electronics,36.89,44.99,44.99
82214445,Pin Stripe Style Graphic - Black,Chrysler,Exterior Graphics,137.00,195.00,195.00
82212434,Window Applique - Mopar Logo,Chrysler,Exterior Graphics,10.85,17.45,17.45
68678831AA,License Plate Bracket,Chrysler,Factory Exterior,123.00,140.00,140.00
82214873,License Plate Frame - Chrysler Logo - Polished,Chrysler,Factory Exterior,38.85,56.20,56.20
82213249AB,License Plate Frame - No Logo - Bright Polished,Chrysler,Factory Exterior,38.85,56.20,56.20
82213250AB,License Plate Frame - Satin Black - Black polyester powder-coated,Chrysler,Factory Exterior,38.85,56.20,56.20
82215855,License Plate Frame Gift Set - Mopar Logo,Chrysler,Factory Exterior,59.25,85.20,85.20
82215857,License Plate Frame Kit - SRT Logo - Polished,Chrysler,Factory Exterior,59.25,85.20,85.20
82215850,License Plate Frame Set - Mopar Logo,Chrysler,Factory Exterior,59.25,85.20,85.20
82215848,License Plate Gift Set - SRT Logo - Black,Chrysler,Factory Exterior,59.25,85.20,85.20
68650467AA,Magnet Mount Antenna - 18.5 Inch - Black,Chrysler,Factory Exterior,43.30,51.50,51.50
68650466AA,Magnet Mount Antenna - 42 Inch - Black,Chrysler,Factory Exterior,30.90,36.00,36.00
82214234,Mopar Performance Emblem - Chrome Plated,Chrysler,Factory Exterior,35.60,52.95,52.95
1FA49403AA,Air Purifier - Philips,Chrysler,Factory Interior,114.00,230.00,230.00
